gene,count,RPKM
AAC1,2962,97.64004283478569
AAC3,3323,110.25142862119068
AAD10,4316,152.61182791860668
AAD14,2554,69.22837597545319
AAD15,87,6.173925170807473
AAD16,307,20.504611520626305
AAD3,639,17.939241458791855
AAD4,1038,32.14311888300016
AAD6,605,29.025544270721873
AAH1,3697,108.561243074793
AAP1,2610,31.12176982250675
AAR2,641,18.399780090604835
AAT1,3330,75.28533714539721
AAT2,13601,331.71218006018574
ABD1,2571,60.120867788132934
ABF1,4035,56.32965079526999
ABF2,4536,251.91836199204826
ABM1,207,17.058987902431326
ABP1,5650,97.36398827254676
ABP140,4432,71.9653790804116
ABZ1,2504,32.4722743799095
ABZ2,1533,41.77490664539744
ACA1,3487,72.72110481274255
ACB1,6475,751.9027990152675
ACC1,14129,64.62980673973176
ACE2,2524,33.453346853332754
ACF2,1601,20.974969121406396
ACF4,1261,41.567891294620104
ACH1,3453,66.95616394100071
ACK1,1802,29.51037972889938
ACM1,943,45.88777486558776
ACN9,613,46.74770309465751
ACO1,16904,221.7464252220715
ACO2,4968,64.2627189843489
ACP1,4521,366.6642456120931
ACS1,1173,16.788210316678448
ACS2,8922,133.29403599260561
ACT1,37149,792.5309204647389
ADA2,872,20.48480475222494
ADD37,2764,141.9350199725124
ADD66,1774,67.64308751217163
ADE1,9205,306.4008870571239
ADE12,15540,365.90292892171544
ADE13,14986,317.0612725970299
ADE16,11977,206.74306180082323
ADE17,24708,425.78219862620983
ADE2,10111,180.6353240473625
ADE3,48988,528.6209016072822
ADE4,8758,175.14132930728988
"ADE5,7",15628,198.88061679607512
ADE6,11423,85.89449308199286
ADE8,4982,236.7935476577732
ADF1,0,0.0
ADH1,74247,2173.9927145077795
ADH2,1443,42.251828182077745
ADH3,13259,360.35248938988826
ADH4,40185,1072.1851790282813
ADH5,9774,283.7489558909353
ADH6,4077,115.4085834584334
ADH7,741,20.917714848092988
ADI1,835,47.404390966659676
ADK1,14392,659.5092455228909
ADK2,728,32.91755281792742
ADO1,9442,282.95294470752145
ADP1,3707,36.07762066314609
ADR1,1401,10.813212831713225
ADY2,305,10.974534300706825
ADY3,728,9.405015090836407
ADY4,1301,26.91255612638455
AEP1,1968,38.74916399808366
AEP2,1148,20.191582444784558
AEP3,1226,20.639842552501175
AFG1,2729,54.68119039718813
AFG2,1624,21.249053596838014
AFG3,3823,51.26889150800319
AFI1,1070,12.23068721641101
AFR1,1751,28.813707743685185
AFT1,3260,48.21077951634081
AFT2,2383,58.397275840373936
AGA1,2646,37.244128816087944
AGA2,107,12.425266331217548
AGC1,1464,16.567536166914223
AGE1,1425,30.14895992598209
AGE2,2453,83.83607949620057
AGP1,8257,133.0876104915235
AGP2,1792,30.67384898585893
AGP3,540,9.87157735039971
AGX1,1329,35.1837622383554
AHA1,5763,167.78228474795623
AHC1,2125,38.298386390705
AHC2,2454,194.39695100768614
AHP1,28910,1669.0887358320892
AHT1,137,7.650222710237411
AI1,0,0.0
AI2,0,0.0
AI3,0,0.0
AI4,0,0.0
AI5_ALPHA,0,0.0
AI5_BETA,0,0.0
AIF1,1399,37.7209919998238
AIM1,980,84.1557345797692
AIM10,639,11.316956483535936
AIM11,430,26.95786239167892
AIM13,812,48.52488555301312
AIM14,972,17.395413537604533
AIM17,2945,64.58088368694276
AIM18,1791,56.83872339729887
AIM19,1681,108.72144787911685
AIM2,933,38.60017658096355
AIM20,1383,68.94026047752452
AIM21,2556,38.41108171176609
AIM22,1045,26.04576001410453
AIM23,1248,35.72325059712652
AIM24,518,13.40100178498097
AIM25,1505,46.88859906845373
AIM26,245,21.0389336449423
AIM29,1954,127.99840619371673
AIM3,1385,14.929526602476386
AIM32,625,20.47057417376483
AIM33,845,27.58779386669066
AIM34,647,33.2242973669376
AIM36,964,38.48058533184313
AIM37,1331,57.87817040536285
AIM39,1540,39.74020799600213
AIM4,421,34.6948497919014
AIM41,1566,86.0366346383493
AIM43,820,45.78965417806334
AIM44,2188,29.458467000085598
AIM45,4782,141.64298730699292
AIM46,6360,208.97836524493906
AIM5,1505,143.7332756490918
AIM6,2370,61.94071147641398
AIM7,2435,165.88698252045458
AIM9,3164,51.48508475405626
AIP1,6075,100.77902932195808
AIR1,1737,49.16966138516037
AIR2,2004,59.358541732165165
AKL1,4107,37.844063072426295
AKR1,10262,137.08034099326852
AKR2,2482,33.81778157008364
ALA1,8820,93.98414153799042
ALB1,1907,110.72421912912085
ALD2,1837,37.02591483786436
ALD3,764,15.398910689237002
ALD4,6572,129.15130893118317
ALD5,16304,319.78717633679014
ALD6,11136,227.14129490683302
ALE1,8345,137.54324062395114
ALF1,758,30.376212767364315
ALG1,2539,57.657364629628226
ALG11,2424,45.119561677896556
ALG12,1796,33.24848457802165
ALG13,630,31.71386056823815
ALG14,1063,45.64160502974218
ALG2,1549,31.406929686636374
ALG3,928,20.660455473551806
ALG5,1171,35.720430880159185
ALG6,3547,66.5072954053146
ALG7,1058,24.079303884055506
ALG8,2200,38.89550757888493
ALG9,2711,49.82637897710462
ALK1,5863,78.72992511075819
ALK2,1028,15.517045975058522
ALO1,2575,49.931109802512836
ALP1,346,6.159831144825815
ALR1,3461,41.125174048753166
ALR2,1790,21.294353927011283
ALT1,12154,209.44458645389972
ALT2,1663,33.45285112914307
ALY1,2460,27.443799283577263
ALY2,1591,15.528449673755068
AMA1,459,7.504767964867876
AMD1,2685,33.832028403149245
AMD2,2093,38.88759989717881
AME1,932,29.304691399601392
AMN1,12311,228.7363795194306
AMS1,5645,53.215636985684974
ANB1,15865,1026.0950449745324
ANP1,3614,73.71485630327717
ANR2,1877,37.10037765551058
ANS1,311,19.86300753228749
ANT1,1381,42.8945762207825
AOS1,1736,50.97709439487169
APA1,5158,163.69298452443752
APA2,4716,147.82939423157882
APC1,1276,7.459570915758229
APC11,1123,69.13154599235688
APC2,1811,21.670312817893564
APC4,852,13.333096255232741
APC5,1296,19.305697045621358
APC9,1017,39.07004551959264
APD1,3901,125.75384970992687
APE1,9891,196.2626116835569
APE2,6502,61.48367387441753
APE3,26549,504.2785469342934
APE4,3549,73.86336826303776
API2,25,2.3224796880780465
APJ1,2323,44.874346668777555
APL1,2428,35.39445792250412
APL2,3081,43.30737777642535
APL3,1399,13.933972678297486
APL4,3840,47.10758320500201
APL5,3286,35.990718458850615
APL6,2733,34.479361413674226
APM1,2082,44.69699984568354
APM2,1098,18.515451929113297
APM3,1230,25.969545603054517
APM4,3554,73.81709018351475
APN1,2544,70.64377346866962
APN2,1290,25.302101169925127
APP1,4432,77.02416990012307
APQ12,1030,75.72286292352307
APQ13,35,2.5731069925469003
APS1,0,0.0
APS2,2100,144.99805620162937
APS3,1282,59.36847473343192
APT1,2708,147.19579776269967
APT2,1677,94.15996221093565
AQR1,10036,174.71377693019693
AQY1,520,17.365469040269836
AQY2,484,32.97301829154005
ARA1,7108,210.5391789581986
ARA2,1507,45.83303070151164
ARB1,7515,125.68758325039063
