gene,count,RPKM
AAC1,3426,98.98982684670017
AAC3,3100,90.152106124744
AAD10,4859,150.59618011755816
AAD14,2799,66.50073540967982
AAD15,76,4.727330869551988
AAD16,232,13.581928937907879
AAD3,666,16.388444899996884
AAD4,911,24.726880892795375
AAD6,703,29.56246346593074
AAH1,3003,77.29314664935364
AAP1,3092,32.31644376046004
AAR2,765,19.247589022392333
AAT1,3614,71.61675075130319
AAT2,15766,337.03297897460607
ABD1,2970,60.87513146724058
ABF1,4481,54.831327764786344
ABF2,5158,251.0894206251057
ABM1,267,19.28654682433519
ABP1,6644,100.35518831125611
ABP140,5024,71.50456933463292
ABZ1,2883,32.77051938879654
ABZ2,1977,47.221556862842675
ACA1,3780,69.09722714593282
ACB1,6892,701.4997109487338
ACC1,16030,64.27102902985114
ACE2,2895,33.632495270988336
ACF2,1697,19.487321017724025
ACF4,1386,40.04667250715891
ACH1,4064,69.07294672315331
ACK1,2106,30.230036876345608
ACM1,1071,45.68094461314447
ACN9,709,47.39214183599565
ACO1,19933,229.19234538342488
ACO2,5718,64.83088639810377
ACP1,5263,374.1344716759716
ACS1,1389,17.424845407716173
ACS2,9515,124.59987042600322
ACT1,41834,782.2737880986883
ADA2,914,18.82009618048864
ADD37,2921,131.47506080894178
ADD66,2094,69.98529266895268
ADE1,12110,353.32198969481993
ADE12,17632,363.8955522810894
ADE13,18981,351.9952948086287
ADE16,13754,208.10006366229103
ADE17,32630,492.8642074949258
ADE2,12489,195.56743359164997
ADE3,55410,524.0866184264727
ADE4,11074,194.11027230189242
"ADE5,7",19712,219.87712260745337
ADE6,13734,90.51957080854235
ADE8,5876,244.79820387308428
ADF1,0,0.0
ADH1,75480,1937.1861898983902
ADH2,1566,40.19122381267725
ADH3,14581,347.34764987706484
ADH4,45062,1053.8446353133243
ADH5,12818,326.1688658930959
ADH6,3921,97.28693923640186
ADH7,839,20.759566964807828
ADI1,908,45.18333083740216
ADK1,17046,684.6719263832416
ADK2,793,31.428933782946004
ADO1,10631,279.2445070337179
ADP1,4353,37.133361699536486
ADR1,1657,11.209840238134646
ADY2,348,10.975537645245979
ADY3,861,9.749707075163577
ADY4,1394,25.275556398635942
AEP1,2259,38.98645732029671
AEP2,1286,19.82575504454922
AEP3,1430,21.101447426041474
AFG1,2845,49.96627736424299
AFG2,1867,21.41204679589785
AFG3,4478,52.63735010489963
AFI1,1233,12.353512459535715
AFR1,2005,28.919293343864943
AFT1,3373,43.722319508565676
AFT2,2392,51.379517334199264
AGA1,2765,34.113274956880154
AGA2,127,12.926648765306034
AGC1,1730,17.160235854502407
AGE1,1621,30.060817284905283
AGE2,2637,78.99577083406254
AGP1,8981,126.88209425702063
AGP2,2118,31.777265638860968
AGP3,645,10.335055342340379
AGX1,1555,36.08344451561498
AHA1,7219,184.21917164532147
AHC1,2485,39.25619786411592
AHC2,3077,213.64989599429327
AHP1,34952,1768.738646414784
AHT1,172,8.418646173214238
AI1,0,0.0
AI2,0,0.0
AI3,0,0.0
AI4,0,0.0
AI5_ALPHA,0,0.0
AI5_BETA,0,0.0
AIF1,1627,38.45149613823067
AIM1,1062,79.93600787470659
AIM10,714,11.083764724159836
AIM11,514,28.244924252563766
AIM13,967,50.65184433082296
AIM14,1087,17.051332988045754
AIM17,4207,80.86330639884659
AIM18,2212,61.53102513961489
AIM19,2137,121.14690821331563
AIM2,1006,36.480932190857615
AIM20,1374,60.034067812970356
AIM21,3036,39.99058473053824
AIM22,1167,25.494817007909898
AIM23,1640,41.14722313701155
AIM24,541,12.267754299186478
AIM25,1818,49.646076821315546
AIM26,267,20.096905934601374
AIM29,2242,128.72885598626183
AIM3,1473,13.917438449400557
AIM32,689,19.780147585757003
AIM33,1001,28.64538342276365
AIM34,676,30.426956900665743
AIM36,1098,38.41733853035588
AIM37,1654,63.04237162297952
AIM39,1951,44.12929438514798
AIM4,474,34.239038182527636
AIM41,1935,93.18219252206889
AIM43,963,47.13462944654251
AIM44,2430,28.67671482341085
AIM45,5530,143.57239199243475
AIM46,7169,206.47291591427572
AIM5,1733,145.07069271500708
