gene,count,RPKM
AAC1,4523,150.70667712030556
AAC3,1185,39.74067453229255
AAD10,4544,162.4082476253606
AAD14,955,26.16553516419553
AAD15,102,7.316532062274396
AAD16,335,22.61626981187472
AAD3,410,11.634562943241766
AAD4,951,29.766938999884278
AAD6,573,27.787061287047084
AAH1,4985,147.9631331863605
AAP1,2168,26.13039990831638
AAR2,441,12.795468497540021
AAT1,1693,38.688876985207344
AAT2,8909,219.6253852909255
ABD1,2015,47.62787596333151
ABF1,3584,50.57367581714838
ABF2,7393,415.02139286236275
ABM1,137,11.412124013642416
ABP1,5407,94.18229666275407
ABP140,3903,64.05977610954953
ABZ1,2491,32.65240017998003
ABZ2,1956,53.87722056963282
ACA1,3636,76.6470412823905
ACB1,7843,920.591887129702
ACC1,24624,113.8526213079855
ACE2,1760,23.579027566221903
ACF2,1340,17.745073237009393
ACF4,995,33.15346976226045
ACH1,9552,187.21959395158842
ACK1,1749,28.951616689859545
ACM1,924,45.448575633892716
ACN9,1073,82.71085762409581
ACO1,33323,441.8493656926733
ACO2,3085,40.33626462329086
ACP1,6257,512.9360348868447
ACS1,3534,51.12530757899697
ACS2,8118,122.5915526966843
ACT1,35296,761.1277878031302
ADA2,613,14.555891778252997
ADD37,2612,135.57752347616238
ADD66,1244,47.946088948916675
ADE1,8245,277.4085772145732
ADE12,8652,205.91803329725587
ADE13,14443,308.8715310936912
ADE16,10816,188.71767277955453
ADE17,12779,222.59211560076463
ADE2,7108,128.35683232903267
ADE3,18613,203.01774461784706
ADE4,5366,108.46693508782616
"ADE5,7",15873,204.1789995009564
ADE6,10256,77.95180140832225
ADE8,2955,141.9667452411765
ADF1,0,0.0
ADH1,78771,2331.355659844597
ADH2,963,28.501548798800915
ADH3,9470,260.1535367824976
ADH4,76220,2055.596033002197
ADH5,4242,124.47885965842775
ADH6,3715,106.296561621702
ADH7,486,13.867408185630248
ADI1,560,32.13535650881303
ADK1,15784,731.1050935643729
ADK2,688,31.444710414439047
ADO1,9011,272.95195616969295
ADP1,3265,32.118960918757516
ADR1,4124,32.1734973074316
ADY2,490,17.821544542739623
ADY3,657,8.579391504271783
ADY4,1053,22.017551592974343
AEP1,1884,37.495671962801666
AEP2,1421,25.263036291566873
AEP3,1252,21.30508338087228
AFG1,2356,47.716953740397166
AFG2,1681,22.232294156842528
AFG3,4385,59.440468907963364
AFI1,1006,11.623262936672786
AFR1,2079,34.580437982309675
AFT1,2123,31.735076329020604
AFT2,1505,37.279325446374834
AGA1,677,9.6320704057555
AGA2,131,15.376455082747794
AGC1,2516,28.779979939311907
AGE1,1301,27.822603472470554
AGE2,1965,67.88267795728123
AGP1,8066,131.41246453361725
AGP2,1642,28.409685240921213
AGP3,571,10.550958158624468
AGX1,2112,56.51636348256089
AHA1,5060,148.90558968369407
AHC1,3051,55.581050288202135
AHC2,3846,307.95493637764514
AHP1,21796,1271.953203025585
AHT1,159,8.974569704159142
AI1,0,0.0
AI2,0,0.0
AI3,0,0.0
AI4,0,0.0
AI5_ALPHA,0,0.0
AI5_BETA,0,0.0
AIF1,744,20.276889105070868
AIM1,1349,117.09344639060595
AIM10,643,11.510727167399171
AIM11,613,38.84547805852794
AIM13,1618,97.73497524672835
AIM14,1114,20.151931721125813
AIM17,2626,58.20715939065659
AIM18,1751,56.16915297497611
AIM19,2250,147.09334749174138
AIM2,1185,49.555173100996385
AIM20,1454,73.26189464709536
AIM21,2996,45.50933576174552
AIM22,989,24.9160982826607
AIM23,1215,35.15407397197584
AIM24,662,17.311252629250276
AIM25,1728,54.41736328670081
AIM26,153,13.28042794496865
AIM29,1919,127.06266993216802
AIM3,1342,14.622168321030886
AIM32,668,22.115128586422156
AIM33,1486,49.039052709820346
AIM34,531,27.56189317222137
AIM36,1072,43.2536160152104
AIM37,2118,93.0948580199079
AIM39,2389,62.31442102236553
AIM4,447,37.23517835108146
AIM41,4235,235.18416154635344
AIM43,952,53.734530555720156
AIM44,1501,20.42709067746825
AIM45,6028,180.47695251719716
AIM46,4339,144.1109103153029
AIM5,2552,246.35676511829698
AIM6,2143,56.61258869067199
AIM7,2659,183.1026706220011
AIM9,3235,53.20865017937281
AIP1,6363,106.6961654215095
AIR1,1593,45.58019452580653
AIR2,1302,38.981584634603635
AKL1,4209,39.202609812905656
AKR1,4831,65.22937281263687
AKR2,2415,33.26009398662149
ALA1,10092,108.6991717928821
ALB1,3113,182.69810943738125
ALD2,1591,32.4137904937795
ALD3,1121,22.83837784005457
ALD4,11430,227.0442392899448
ALD5,8177,162.115251683101
ALD6,31225,643.7723526439395
ALE1,4548,75.76983943656307
ALF1,868,35.15986065081896
ALG1,1883,43.22205450435353
ALG11,2144,40.33852713986835
ALG12,1345,25.1681217998953
ALG13,719,36.58478043077571
ALG14,891,38.669481369173425
ALG2,1283,26.294427551535154
ALG3,636,14.31238567199236
ALG5,1135,34.99601990805172
ALG6,2218,42.03708955628609
ALG7,930,21.394601811864867
ALG8,1922,34.347342862669784
ALG9,2818,52.35206267834764
ALK1,4106,55.73164841499328
ALK2,1148,17.515430652514045
ALO1,2854,55.93851770705961
ALP1,491,8.83562347016207
ALR1,4213,50.60117577843288
ALR2,1475,17.736440115353943
ALT1,7022,122.31331369814298
ALT2,1211,24.623400631998962
ALY1,1997,22.5190565553999
ALY2,1576,15.548093079581255
AMA1,522,8.626965993051636
AMD1,3551,45.226962245250824
AMD2,1581,29.691817387266276
AME1,894,28.413305326363698
AMN1,3939,73.97600802557993
AMS1,8479,80.79471502846702
ANB1,18232,1191.9137384308574
ANP1,3605,74.32503863191039
ANR2,1713,34.22428787623449
ANS1,2184,140.99387668241718
ANT1,965,30.296957368545506
AOS1,1548,45.94722771765016
APA1,5180,166.16574095395558
APA2,3583,113.52638489698661
APC1,1139,6.73053979184052
APC11,1029,64.028729911385
APC2,1558,18.8441773572506
APC4,633,10.012859660397497
APC5,1599,24.076422090708473
APC9,959,37.23956257083315
APD1,3974,129.4899910876754
APE1,6344,127.23996638191323
APE2,7699,73.58853621614183
APE3,19999,383.96673880627765
APE4,3432,72.19936658744668
API2,27,2.5353544258576517
APJ1,3983,77.77181506693363
APL1,2797,41.21374207236349
APL2,2730,38.787861535740625
APL3,1775,17.869754950859377
APL4,3491,43.28849108859529
APL5,3203,35.46033999692058
APL6,2241,28.577513466765875
APM1,2143,46.503197853051994
APM2,964,16.431303221974414
APM3,1256,26.80475722960615
APM4,3260,68.4415911707734
APN1,2021,56.72651393039599
APN2,1577,31.265225865751532
APP1,3436,60.3591936758099
APQ12,1059,78.69529364992215
APQ13,36,2.675194118410951
APS1,0,0.0
APS2,1830,127.71943091219852
APS3,1113,52.098597240307534
APT1,3590,197.24418100299184
APT2,2581,146.48198515369268
AQR1,12562,221.04886445445266
AQY1,2106,71.08934958777337
AQY2,101,6.955009301550249
ARA1,6583,197.09352661259274
ARA2,1363,41.90097983563026
ARB1,10326,174.56553786474342
ARC1,8222,225.27018860734623
ARC15,3608,240.43762593414212
ARC18,4506,260.01940300447
ARC19,4312,258.9511867512492
ARC35,7046,212.1857036286828
ARC40,5735,153.86516013009134
ARD1,1166,50.392772146366404
ARE1,5001,84.54408821049601
ARE2,692,11.116363049149498
ARF1,14857,843.1936665743558
ARF2,18587,1054.8859581757793
ARF3,989,55.519566825493946
ARG1,10515,257.98519368947416
ARG2,1236,22.203335764225848
ARG3,2168,66.05826761482932
ARG4,12174,271.00850302067494
"ARG5,6",5810,69.4592341206115
ARG7,5137,120.04799106916232
ARG8,1816,44.2402515818767
ARG80,2187,126.9101569347847
ARG81,1694,19.86118231447071
ARG82,1464,42.47747365169749
ARH1,1630,34.08224985427177
ARI1,681,20.213218395167804
ARK1,1367,22.09709876637194
ARL1,2170,121.81745198313637
ARL3,1121,58.18621891913401
ARN1,1479,24.326304054186206
ARN2,1211,20.14281404356759
ARO1,11576,75.24925790061532
ARO10,1987,32.270697464459985
ARO2,8586,235.2432302824951
ARO3,10447,290.8608610924266
ARO4,13698,381.3737987215526
ARO7,1015,40.794397124514596
ARO8,7752,159.82460456992214
ARO80,1298,14.098138603573451
ARO9,607,12.198127613093774
ARP1,775,20.7925892067691
ARP10,79,2.86318777916868
ARP2,6368,151.9087390492488
ARP3,6060,139.100186031005
ARP4,3567,75.19251822175107
ARP5,3283,44.85560179355152
ARP6,1232,28.98770199883818
ARP7,3257,70.38132885107864
ARP8,3031,35.49645247019399
ARP9,2522,52.45026285021847
ARR1,2135,74.75555391245065
ARR2,230,18.135274801865588
ARR3,511,13.032672361907508
ART10,1652,32.87837053213819
ART5,1113,19.585049047747635
ARV1,720,23.096396426032438
ARX1,3706,64.444605639427
ASA1,1510,35.12865950408374
ASC1,25904,651.0174204934511
ASE1,1681,19.597541463311526
ASF1,4977,183.6019163391916
ASF2,1961,38.50875251385396
ASG1,3151,33.69293756408713
ASG7,187,9.197926021144955
ASH1,4793,84.05426107935168
ASI1,1982,32.75602796595468
ASI2,1267,45.128013580048645
ASI3,2064,31.49115754946776
ASK1,1349,47.55672396068979
