gene,count,RPKM
AAC1,5878,152.29276473607234
AAC3,1891,49.31195212609476
AAD10,5226,145.23889821898874
AAD14,1020,21.73052428989185
AAD15,105,5.85650057200006
AAD16,257,13.491277508159243
AAD3,476,10.503086740114394
AAD4,1012,24.63076811995454
AAD6,700,26.39549553577492
AAH1,5553,128.1621583303107
AAP1,2949,27.63791861869487
AAR2,574,12.950104635613616
AAT1,2201,39.110466019637315
AAT2,11781,225.82889842885578
ABD1,2602,47.82304644920036
ABF1,4838,53.084308697585556
ABF2,9106,397.48542267303765
ABM1,173,11.205617684306107
ABP1,6995,94.74240578437679
ABP140,5373,68.57210609205978
ABZ1,3364,34.2879209703406
ABZ2,2599,55.66553595109726
ACA1,4258,69.79446139403267
ACB1,8459,772.0541039773793
ACC1,30372,109.19471157301086
ACE2,2248,23.418189280010914
ACF2,1679,17.28890454573732
ACF4,1253,32.46390510620937
ACH1,11351,172.99553394703653
ACK1,2373,30.543902983200315
ACM1,1199,45.85759468295884
ACN9,1490,89.30851192099026
ACO1,43864,452.2537308758522
ACO2,3689,37.505326194762915
ACP1,8211,523.403822549034
ACS1,4837,54.411319600027454
ACS2,9783,114.87547888897562
ACT1,44310,742.9808491843417
ADA2,823,15.195743750166857
ADD37,3230,130.36494597026407
ADD66,1578,47.291554299101556
ADE1,10522,275.2778736986563
ADE12,10756,199.05470489247972
ADE13,18179,302.297281699064
ADE16,13940,189.12652812435715
ADE17,16504,223.5351915747469
ADE2,9266,130.109093227139
ADE3,23404,198.49587843054132
ADE4,6917,108.71970332195538
"ADE5,7",19632,196.363327629114
ADE6,13335,78.8106567040008
ADE8,3740,139.71547942663798
ADF1,0,0.0
ADH1,97772,2250.0929306940907
ADH2,1141,26.258601991592247
ADH3,11879,253.74846308129622
ADH4,101989,2138.7791546594763
ADH5,5492,125.31390055100388
ADH6,4356,96.91523479211307
ADH7,620,13.756073956015927
ADI1,734,32.75178224646129
ADK1,20464,737.0501639794546
ADK2,880,31.274157289669095
ADO1,11503,270.9368790805531
ADP1,4157,31.79816865672392
ADR1,5146,31.217144870276023
ADY2,775,21.917688257384533
ADY3,857,8.701932726378706
ADY4,1441,23.428712062700992
AEP1,2368,36.64592793921359
AEP2,1751,24.2059090275614
AEP3,1592,21.06520817651008
AFG1,3062,48.22213042410537
AFG2,2114,21.740289959465525
AFG3,6015,63.40040664221438
AFI1,1284,11.535565460323033
AFR1,2814,36.395180366284436
AFT1,2726,31.685399497418395
