"gene","Sample","Value","Strain","Replicate","Condition"
"ABF2","JCYL002D",393.434600171183,"JCYL","002","D"
"ABF2","JCYL003D",415.021392862363,"JCYL","003","D"
"ABM1","JCYL001B",19.2865468243352,"JCYL","001","B"
"ABM1","JCYL002B",15.9323674241555,"JCYL","002","B"
"ABM1","JCYL003B",17.0589879024313,"JCYL","003","B"
"ABM1","JCYL001D",11.2056176843061,"JCYL","001","D"
"ABM1","JCYL002D",14.5932242018177,"JCYL","002","D"
"ABM1","JCYL003D",11.4121240136424,"JCYL","003","D"
"ABP1","JCYL001B",100.355188311256,"JCYL","001","B"
"ABP1","JCYL002B",99.4415279477474,"JCYL","002","B"
"ABP1","JCYL003B",97.3639882725468,"JCYL","003","B"
"ABP1","JCYL001D",94.7424057843768,"JCYL","001","D"
"ABP1","JCYL002D",92.869973103296,"JCYL","002","D"
"ABP1","JCYL003D",94.1822966627541,"JCYL","003","D"
"ABP140","JCYL001B",71.5045693346329,"JCYL","001","B"
"ABP140","JCYL002B",75.1353448475909,"JCYL","002","B"
"ABP140","JCYL003B",71.9653790804116,"JCYL","003","B"
"ABP140","JCYL001D",68.5721060920598,"JCYL","001","D"
"ABP140","JCYL002D",67.0460892783069,"JCYL","002","D"
"ABP140","JCYL003D",64.0597761095495,"JCYL","003","D"
"ABZ1","JCYL001B",32.7705193887965,"JCYL","001","B"
"ABZ1","JCYL002B",33.3015912347577,"JCYL","002","B"
"ABZ1","JCYL003B",32.4722743799095,"JCYL","003","B"
"ABZ1","JCYL001D",34.2879209703406,"JCYL","001","D"
"ABZ1","JCYL002D",33.7169207950305,"JCYL","002","D"
"ABZ1","JCYL003D",32.65240017998,"JCYL","003","D"
"ABZ2","JCYL001B",47.2215568628427,"JCYL","001","B"
"ABZ2","JCYL002B",42.4487022965064,"JCYL","002","B"
"ABZ2","JCYL003B",41.7749066453974,"JCYL","003","B"
"ABZ2","JCYL001D",55.6655359510973,"JCYL","001","D"
"ABZ2","JCYL002D",58.6463331633911,"JCYL","002","D"
"ABZ2","JCYL003D",53.8772205696328,"JCYL","003","D"
"ACA1","JCYL001B",69.0972271459328,"JCYL","001","B"
"ACA1","JCYL002B",71.3177327494919,"JCYL","002","B"
"ACA1","JCYL003B",72.7211048127426,"JCYL","003","B"
"ACA1","JCYL001D",69.7944613940327,"JCYL","001","D"
"ACA1","JCYL002D",85.1729961415583,"JCYL","002","D"
"ACA1","JCYL003D",76.6470412823905,"JCYL","003","D"
"ACB1","JCYL001B",701.499710948734,"JCYL","001","B"
"ACB1","JCYL002B",737.358749749005,"JCYL","002","B"
"ACB1","JCYL003B",751.902799015268,"JCYL","003","B"
"ACB1","JCYL001D",772.054103977379,"JCYL","001","D"
"ACB1","JCYL002D",976.261429449309,"JCYL","002","D"
"ACB1","JCYL003D",920.591887129702,"JCYL","003","D"
"ACC1","JCYL001B",64.2710290298511,"JCYL","001","B"
"ACC1","JCYL002B",63.8572569311247,"JCYL","002","B"
"ACC1","JCYL003B",64.6298067397318,"JCYL","003","B"
"ACC1","JCYL001D",109.194711573011,"JCYL","001","D"
"ACC1","JCYL002D",119.307019797324,"JCYL","002","D"
"ACC1","JCYL003D",113.852621307986,"JCYL","003","D"
"ACE2","JCYL001B",33.6324952709883,"JCYL","001","B"
"ACE2","JCYL002B",33.006705263289,"JCYL","002","B"
"ACE2","JCYL003B",33.4533468533328,"JCYL","003","B"
