"gene","Sample","Value","Strain","Replicate","Condition"
"DED81","JCYL001D",227.740539308886,"JCYL","001","D"
"DED81","JCYL002D",230.492668873639,"JCYL","002","D"
"DED81","JCYL003D",231.80262470112,"JCYL","003","D"
"DEF1","JCYL001B",63.3780836270881,"JCYL","001","B"
"DEF1","JCYL002B",60.5231333255416,"JCYL","002","B"
"DEF1","JCYL003B",59.6126166648709,"JCYL","003","B"
"DEF1","JCYL001D",74.2313994790064,"JCYL","001","D"
"DEF1","JCYL002D",70.5835985708299,"JCYL","002","D"
"DEF1","JCYL003D",76.1902404294345,"JCYL","003","D"
"DEG1","JCYL001B",29.8231280947143,"JCYL","001","B"
"DEG1","JCYL002B",31.144261437057,"JCYL","002","B"
"DEG1","JCYL003B",30.7951369927098,"JCYL","003","B"
"DEG1","JCYL001D",31.1661770523618,"JCYL","001","D"
"DEG1","JCYL002D",32.4621546351852,"JCYL","002","D"
"DEG1","JCYL003D",30.7544999287423,"JCYL","003","D"
"DEP1","JCYL001B",79.9074574465417,"JCYL","001","B"
"DEP1","JCYL002B",79.5917156619538,"JCYL","002","B"
"DEP1","JCYL003B",81.8267942121764,"JCYL","003","B"
"DEP1","JCYL001D",65.7972275382594,"JCYL","001","D"
"DEP1","JCYL002D",64.0022063229199,"JCYL","002","D"
"DEP1","JCYL003D",65.6388967395002,"JCYL","003","D"
"DER1","JCYL001B",65.3610999967948,"JCYL","001","B"
"DER1","JCYL002B",67.9441796377013,"JCYL","002","B"
"DER1","JCYL003B",70.3273141772916,"JCYL","003","B"
"DER1","JCYL001D",70.5432068899026,"JCYL","001","D"
"DER1","JCYL002D",71.9885774891307,"JCYL","002","D"
"DER1","JCYL003D",76.1536489234287,"JCYL","003","D"
"DET1","JCYL001B",40.0527099973605,"JCYL","001","B"
"DET1","JCYL002B",41.2573079023263,"JCYL","002","B"
"DET1","JCYL003B",40.3875751369178,"JCYL","003","B"
"DET1","JCYL001D",45.8889910917518,"JCYL","001","D"
"DET1","JCYL002D",45.1568267491137,"JCYL","002","D"
"DET1","JCYL003D",48.0385894420657,"JCYL","003","D"
"DFG10","JCYL001B",30.7501804096511,"JCYL","001","B"
"DFG10","JCYL002B",29.2631542633676,"JCYL","002","B"
"DFG10","JCYL003B",30.3751083613987,"JCYL","003","B"
"DFG10","JCYL001D",23.3364090284061,"JCYL","001","D"
"DFG10","JCYL002D",22.3905037247237,"JCYL","002","D"
"DFG10","JCYL003D",25.4977245190146,"JCYL","003","D"
"DFG16","JCYL001B",26.0621202030717,"JCYL","001","B"
"DFG16","JCYL002B",26.7324230469233,"JCYL","002","B"
"DFG16","JCYL003B",25.8769188471664,"JCYL","003","B"
"DFG16","JCYL001D",25.7275800243144,"JCYL","001","D"
"DFG16","JCYL002D",26.0824927797568,"JCYL","002","D"
"DFG16","JCYL003D",26.8559765109366,"JCYL","003","D"
"DFG5","JCYL001B",43.6338981396006,"JCYL","001","B"
"DFG5","JCYL002B",46.9930580148027,"JCYL","002","B"
"DFG5","JCYL003B",49.892328358006,"JCYL","003","B"
"DFG5","JCYL001D",49.048055584138,"JCYL","001","D"
"DFG5","JCYL002D",50.6462311315105,"JCYL","002","D"
"DFG5","JCYL003D",50.2058686072562,"JCYL","003","D"
"DFM1","JCYL001B",85.3538576391686,"JCYL","001","B"
"DFM1","JCYL002B",89.1829196956481,"JCYL","002","B"
"DFM1","JCYL003B",88.0260547039265,"JCYL","003","B"
"DFM1","JCYL001D",65.0291732686443,"JCYL","001","D"
"DFM1","JCYL002D",70.2681874527949,"JCYL","002","D"
"DFM1","JCYL003D",71.2172656464108,"JCYL","003","D"
"DFR1","JCYL001B",79.683926692925,"JCYL","001","B"
"DFR1","JCYL002B",84.1759257568824,"JCYL","002","B"
"DFR1","JCYL003B",89.5118728082458,"JCYL","003","B"
"DFR1","JCYL001D",76.0745217158563,"JCYL","001","D"
"DFR1","JCYL002D",71.3111442003371,"JCYL","002","D"
"DFR1","JCYL003D",74.8381348345403,"JCYL","003","D"
"DGA1","JCYL001B",41.7496770225425,"JCYL","001","B"
"DGA1","JCYL002B",40.7930692360485,"JCYL","002","B"
"DGA1","JCYL003B",40.9000313183539,"JCYL","003","B"
"DGA1","JCYL001D",41.3281644183527,"JCYL","001","D"
"DGA1","JCYL002D",43.3018376197186,"JCYL","002","D"
"DGA1","JCYL003D",42.574143046069,"JCYL","003","D"
"DGK1","JCYL001B",107.607696494544,"JCYL","001","B"
"DGK1","JCYL002B",107.484017584637,"JCYL","002","B"
"DGK1","JCYL003B",105.770992474779,"JCYL","003","B"
"DGK1","JCYL001D",80.1245179877051,"JCYL","001","D"
"DGK1","JCYL002D",82.6819356711364,"JCYL","002","D"
"DGK1","JCYL003D",76.5995206325683,"JCYL","003","D"
"DGR1","JCYL001B",9.87103244941897,"JCYL","001","B"
"DGR1","JCYL002B",8.59249792162553,"JCYL","002","B"
"DGR1","JCYL003B",11.4702058064263,"JCYL","003","B"
"DGR1","JCYL001D",9.34308196209456,"JCYL","001","D"
"DGR1","JCYL002D",6.64345461989673,"JCYL","002","D"
"DGR1","JCYL003D",7.58881596855352,"JCYL","003","D"
"DGR2","JCYL001B",25.905084789699,"JCYL","001","B"
"DGR2","JCYL002B",24.5276336199057,"JCYL","002","B"
"DGR2","JCYL003B",24.5948693063852,"JCYL","003","B"
"DGR2","JCYL001D",16.1953671821914,"JCYL","001","D"
"DGR2","JCYL002D",17.2855349843944,"JCYL","002","D"
"DGR2","JCYL003D",15.5119965328297,"JCYL","003","D"
"DHH1","JCYL001B",20.3344422205706,"JCYL","001","B"
"DHH1","JCYL002B",21.8788645683023,"JCYL","002","B"
"DHH1","JCYL003B",20.39750997056,"JCYL","003","B"
"DHH1","JCYL001D",26.8200993227959,"JCYL","001","D"
"DHH1","JCYL002D",25.0973667654191,"JCYL","002","D"
"DHH1","JCYL003D",28.9910898005331,"JCYL","003","D"
"DHR2","JCYL001B",9.48035375469937,"JCYL","001","B"
"DHR2","JCYL002B",10.7920354983962,"JCYL","002","B"
"DHR2","JCYL003B",10.2883325747414,"JCYL","003","B"
"DHR2","JCYL001D",8.99209280371686,"JCYL","001","D"
"DHR2","JCYL002D",10.2378333003148,"JCYL","002","D"
"DHR2","JCYL003D",11.0730379740432,"JCYL","003","D"
"DIA1","JCYL001B",31.3629572604355,"JCYL","001","B"
"DIA1","JCYL002B",30.3208677515111,"JCYL","002","B"
"DIA1","JCYL003B",32.0819211986378,"JCYL","003","B"
"DIA1","JCYL001D",36.5838882700267,"JCYL","001","D"
"DIA1","JCYL002D",42.6443920264256,"JCYL","002","D"
"DIA1","JCYL003D",35.033532472039,"JCYL","003","D"
"DIA2","JCYL001B",22.4353888959509,"JCYL","001","B"
"DIA2","JCYL002B",22.2909901218957,"JCYL","002","B"
"DIA2","JCYL003B",21.9574136949261,"JCYL","003","B"
"DIA2","JCYL001D",14.6281253811641,"JCYL","001","D"
"DIA2","JCYL002D",13.1272338799781,"JCYL","002","D"
"DIA2","JCYL003D",14.0212491491142,"JCYL","003","D"
"DIA3","JCYL001B",16.9209903956043,"JCYL","001","B"
"DIA3","JCYL002B",15.0023435296349,"JCYL","002","B"
"DIA3","JCYL003B",14.7509648077759,"JCYL","003","B"
"DIA3","JCYL001D",17.2451910842641,"JCYL","001","D"
"DIA3","JCYL002D",16.8419448770428,"JCYL","002","D"
"DIA3","JCYL003D",16.1875863010812,"JCYL","003","D"
"DIA4","JCYL001B",14.3272691136546,"JCYL","001","B"
"DIA4","JCYL002B",13.7844456633753,"JCYL","002","B"
"DIA4","JCYL003B",15.4998241733209,"JCYL","003","B"
"DIA4","JCYL001D",12.3980376442724,"JCYL","001","D"
"DIA4","JCYL002D",14.1366839325872,"JCYL","002","D"
"DIA4","JCYL003D",13.0328435313786,"JCYL","003","D"
"DIB1","JCYL001B",96.1638621622023,"JCYL","001","B"
"DIB1","JCYL002B",97.3862331213296,"JCYL","002","B"
"DIB1","JCYL003B",95.9442164474908,"JCYL","003","B"
"DIB1","JCYL001D",147.360709630706,"JCYL","001","D"
"DIB1","JCYL002D",145.078611325596,"JCYL","002","D"
"DIB1","JCYL003D",162.613511619373,"JCYL","003","D"
"DIC1","JCYL001B",292.676784622219,"JCYL","001","B"
"DIC1","JCYL002B",287.584516880338,"JCYL","002","B"
"DIC1","JCYL003B",280.011821978138,"JCYL","003","B"
"DIC1","JCYL001D",241.275511763958,"JCYL","001","D"
"DIC1","JCYL002D",195.618566729737,"JCYL","002","D"
"DIC1","JCYL003D",234.808428537222,"JCYL","003","D"
"DID2","JCYL001B",0,"JCYL","001","B"
"DID2","JCYL002B",0,"JCYL","002","B"
"DID2","JCYL003B",0,"JCYL","003","B"
"DID2","JCYL001D",0,"JCYL","001","D"
"DID2","JCYL002D",0,"JCYL","002","D"
"DID2","JCYL003D",0,"JCYL","003","D"
"DID4","JCYL001B",128.014549901396,"JCYL","001","B"
"DID4","JCYL002B",119.519827799708,"JCYL","002","B"
"DID4","JCYL003B",122.227230895806,"JCYL","003","B"
"DID4","JCYL001D",149.09566201969,"JCYL","001","D"
"DID4","JCYL002D",138.710074356865,"JCYL","002","D"
"DID4","JCYL003D",137.808247736643,"JCYL","003","D"
"DIE2","JCYL001B",17.6927240188836,"JCYL","001","B"
"DIE2","JCYL002B",18.1176927695931,"JCYL","002","B"
"DIE2","JCYL003B",17.6596763506406,"JCYL","003","B"
"DIE2","JCYL001D",13.2386815754674,"JCYL","001","D"
"DIE2","JCYL002D",14.2887766693317,"JCYL","002","D"
"DIE2","JCYL003D",12.4304132285923,"JCYL","003","D"
"DIF1","JCYL001B",327.266468870289,"JCYL","001","B"
"DIF1","JCYL002B",333.840987346738,"JCYL","002","B"
"DIF1","JCYL003B",368.414606281061,"JCYL","003","B"
"DIF1","JCYL001D",219.794841083404,"JCYL","001","D"
"DIF1","JCYL002D",205.849395354741,"JCYL","002","D"
"DIF1","JCYL003D",232.484572781242,"JCYL","003","D"
"DIG1","JCYL001B",127.969126752487,"JCYL","001","B"
"DIG1","JCYL002B",129.405440765659,"JCYL","002","B"
"DIG1","JCYL003B",135.011435112246,"JCYL","003","B"
"DIG1","JCYL001D",70.1405979574864,"JCYL","001","D"
"DIG1","JCYL002D",71.9241739711674,"JCYL","002","D"
"DIG1","JCYL003D",74.6075353572632,"JCYL","003","D"
"DIG2","JCYL001B",41.1360721280313,"JCYL","001","B"
"DIG2","JCYL002B",39.9590933438558,"JCYL","002","B"
"DIG2","JCYL003B",39.5509689103069,"JCYL","003","B"
"DIG2","JCYL001D",37.506393081211,"JCYL","001","D"
"DIG2","JCYL002D",36.9086842948711,"JCYL","002","D"
"DIG2","JCYL003D",37.268087062304,"JCYL","003","D"
"DIM1","JCYL001B",64.1032617565977,"JCYL","001","B"
"DIM1","JCYL002B",72.1349213630172,"JCYL","002","B"
"DIM1","JCYL003B",67.6242016763139,"JCYL","003","B"
"DIM1","JCYL001D",70.4983140955493,"JCYL","001","D"
"DIM1","JCYL002D",72.2431281794652,"JCYL","002","D"
"DIM1","JCYL003D",68.7751315520007,"JCYL","003","D"
"DIN7","JCYL001B",15.5657283632434,"JCYL","001","B"
"DIN7","JCYL002B",14.2210211229188,"JCYL","002","B"
"DIN7","JCYL003B",15.6484478287208,"JCYL","003","B"
"DIN7","JCYL001D",12.5228559794786,"JCYL","001","D"
"DIN7","JCYL002D",12.5066864063799,"JCYL","002","D"
"DIN7","JCYL003D",12.6538957681372,"JCYL","003","D"
"DIP2","JCYL001B",27.2411914224696,"JCYL","001","B"
"DIP2","JCYL002B",29.5652435718774,"JCYL","002","B"
"DIP2","JCYL003B",27.4524971943327,"JCYL","003","B"
"DIP2","JCYL001D",34.7306082347277,"JCYL","001","D"
"DIP2","JCYL002D",34.2710438955297,"JCYL","002","D"
"DIP2","JCYL003D",37.2464732901027,"JCYL","003","D"
"DIP5","JCYL001B",575.207206566685,"JCYL","001","B"
"DIP5","JCYL002B",570.217838975284,"JCYL","002","B"
"DIP5","JCYL003B",560.59701995993,"JCYL","003","B"
"DIP5","JCYL001D",301.395879120433,"JCYL","001","D"
"DIP5","JCYL002D",314.225521438516,"JCYL","002","D"
"DIP5","JCYL003D",305.127584584912,"JCYL","003","D"
"DIS3","JCYL001B",32.940840064858,"JCYL","001","B"
"DIS3","JCYL002B",33.9305051411096,"JCYL","002","B"
"DIS3","JCYL003B",34.5219685371601,"JCYL","003","B"
"DIS3","JCYL001D",36.6319351432544,"JCYL","001","D"
"DIS3","JCYL002D",36.3387295425002,"JCYL","002","D"
"DIS3","JCYL003D",37.997516282555,"JCYL","003","D"
"DIT1","JCYL001B",12.3597254019572,"JCYL","001","B"
"DIT1","JCYL002B",12.0923930426887,"JCYL","002","B"
"DIT1","JCYL003B",11.8935179557069,"JCYL","003","B"
"DIT1","JCYL001D",13.9097731063625,"JCYL","001","D"
"DIT1","JCYL002D",16.5635172391455,"JCYL","002","D"
"DIT1","JCYL003D",12.3489019624848,"JCYL","003","D"
"DIT2","JCYL001B",2.46775811235474,"JCYL","001","B"
"DIT2","JCYL002B",2.24726868719437,"JCYL","002","B"
"DIT2","JCYL003B",2.27318624163721,"JCYL","003","B"
"DIT2","JCYL001D",2.31118343272865,"JCYL","001","D"
"DIT2","JCYL002D",2.46198612384408,"JCYL","002","D"
"DIT2","JCYL003D",2.50852527849408,"JCYL","003","D"
"DJP1","JCYL001B",72.3803945122458,"JCYL","001","B"
"DJP1","JCYL002B",71.505946463071,"JCYL","002","B"
"DJP1","JCYL003B",71.7211764367307,"JCYL","003","B"
"DJP1","JCYL001D",80.9298433382079,"JCYL","001","D"
"DJP1","JCYL002D",83.9141151910675,"JCYL","002","D"
"DJP1","JCYL003D",82.2282386153833,"JCYL","003","D"
"DLD1","JCYL001B",39.9411220407045,"JCYL","001","B"
"DLD1","JCYL002B",38.6662406473149,"JCYL","002","B"
"DLD1","JCYL003B",41.8662511934559,"JCYL","003","B"
"DLD1","JCYL001D",139.873039900363,"JCYL","001","D"
"DLD1","JCYL002D",121.031368111991,"JCYL","002","D"
"DLD1","JCYL003D",142.026798855915,"JCYL","003","D"
"DLD2","JCYL001B",33.7027906418015,"JCYL","001","B"
"DLD2","JCYL002B",32.5243410573133,"JCYL","002","B"
"DLD2","JCYL003B",33.3894725777548,"JCYL","003","B"
"DLD2","JCYL001D",39.6445856315407,"JCYL","001","D"
"DLD2","JCYL002D",40.5514203260906,"JCYL","002","D"
"DLD2","JCYL003D",40.6749579055255,"JCYL","003","D"
"DLD3","JCYL001B",2809.03477024017,"JCYL","001","B"
"DLD3","JCYL002B",2744.88882143334,"JCYL","002","B"
"DLD3","JCYL003B",2648.52779830004,"JCYL","003","B"
"DLD3","JCYL001D",881.717287611355,"JCYL","001","D"
"DLD3","JCYL002D",922.243049348887,"JCYL","002","D"
"DLD3","JCYL003D",867.820890876543,"JCYL","003","D"
"DLS1","JCYL001B",27.7775118387585,"JCYL","001","B"
"DLS1","JCYL002B",30.8448643340404,"JCYL","002","B"
"DLS1","JCYL003B",27.5545625849831,"JCYL","003","B"
"DLS1","JCYL001D",22.9001124407186,"JCYL","001","D"
"DLS1","JCYL002D",21.8273306813029,"JCYL","002","D"
"DLS1","JCYL003D",20.4125096191185,"JCYL","003","D"
"DLT1","JCYL001B",32.4072784913464,"JCYL","001","B"
"DLT1","JCYL002B",34.1575398148136,"JCYL","002","B"
"DLT1","JCYL003B",35.185228720492,"JCYL","003","B"
"DLT1","JCYL001D",35.3819469792603,"JCYL","001","D"
"DLT1","JCYL002D",38.7720943993133,"JCYL","002","D"
"DLT1","JCYL003D",38.4560237771541,"JCYL","003","D"
"DMA1","JCYL001B",50.541807812446,"JCYL","001","B"
"DMA1","JCYL002B",47.1826566836355,"JCYL","002","B"
"DMA1","JCYL003B",47.590226471677,"JCYL","003","B"
"DMA1","JCYL001D",37.5586470393426,"JCYL","001","D"
"DMA1","JCYL002D",39.5374110535792,"JCYL","002","D"
"DMA1","JCYL003D",37.2050144986412,"JCYL","003","D"
"DMA2","JCYL001B",49.3750846622785,"JCYL","001","B"
"DMA2","JCYL002B",50.9957611243525,"JCYL","002","B"
"DMA2","JCYL003B",51.0163970334911,"JCYL","003","B"
"DMA2","JCYL001D",45.6106376150958,"JCYL","001","D"
"DMA2","JCYL002D",55.5790621456707,"JCYL","002","D"
"DMA2","JCYL003D",48.9798659708213,"JCYL","003","D"
"DMC1","JCYL001B",22.3150520363422,"JCYL","001","B"
"DMC1","JCYL002B",22.6517851124039,"JCYL","002","B"
"DMC1","JCYL003B",23.0554273502005,"JCYL","003","B"
"DMC1","JCYL001D",15.7706812642331,"JCYL","001","D"
"DMC1","JCYL002D",19.4280703847556,"JCYL","002","D"
"DMC1","JCYL003D",16.185899874588,"JCYL","003","D"
"DML1","JCYL001B",24.6883338822069,"JCYL","001","B"
"DML1","JCYL002B",26.7227657364581,"JCYL","002","B"
"DML1","JCYL003B",25.4828716699454,"JCYL","003","B"
"DML1","JCYL001D",17.0928261592396,"JCYL","001","D"
"DML1","JCYL002D",18.3240960688068,"JCYL","002","D"
"DML1","JCYL003D",17.945937762237,"JCYL","003","D"
"DNA2","JCYL001B",7.36912744457791,"JCYL","001","B"
"DNA2","JCYL002B",7.69805182755663,"JCYL","002","B"
"DNA2","JCYL003B",7.41424572779741,"JCYL","003","B"
"DNA2","JCYL001D",6.87156874167849,"JCYL","001","D"
"DNA2","JCYL002D",6.45626987827938,"JCYL","002","D"
"DNA2","JCYL003D",6.73467969982324,"JCYL","003","D"
"DNF1","JCYL001B",20.9225700518219,"JCYL","001","B"
"DNF1","JCYL002B",21.6686643552756,"JCYL","002","B"
"DNF1","JCYL003B",21.8159440623637,"JCYL","003","B"
"DNF1","JCYL001D",24.0442239405298,"JCYL","001","D"
"DNF1","JCYL002D",23.1807443848791,"JCYL","002","D"
"DNF1","JCYL003D",24.4891917342584,"JCYL","003","D"
"DNF2","JCYL001B",11.7002480215766,"JCYL","001","B"
"DNF2","JCYL002B",12.3886208052127,"JCYL","002","B"
"DNF2","JCYL003B",11.9928070786979,"JCYL","003","B"
"DNF2","JCYL001D",11.3729496184485,"JCYL","001","D"
"DNF2","JCYL002D",11.5035144162254,"JCYL","002","D"
"DNF2","JCYL003D",11.539527319545,"JCYL","003","D"
"DNF3","JCYL001B",15.9410588074554,"JCYL","001","B"
"DNF3","JCYL002B",16.1055984440626,"JCYL","002","B"
"DNF3","JCYL003B",16.0221664516341,"JCYL","003","B"
"DNF3","JCYL001D",15.8163384013956,"JCYL","001","D"
"DNF3","JCYL002D",15.1271902721004,"JCYL","002","D"
"DNF3","JCYL003D",16.4881059076708,"JCYL","003","D"
"DNL4","JCYL001B",15.1653722130991,"JCYL","001","B"
"DNL4","JCYL002B",14.8655110054333,"JCYL","002","B"
"DNL4","JCYL003B",13.9063693830908,"JCYL","003","B"
"DNL4","JCYL001D",13.5562716188156,"JCYL","001","D"
"DNL4","JCYL002D",15.0252074965464,"JCYL","002","D"
"DNL4","JCYL003D",14.2313721681886,"JCYL","003","D"
"DNM1","JCYL001B",35.2846242989418,"JCYL","001","B"
"DNM1","JCYL002B",32.6648334070482,"JCYL","002","B"
"DNM1","JCYL003B",34.9168582128462,"JCYL","003","B"
"DNM1","JCYL001D",35.1787384528432,"JCYL","001","D"
"DNM1","JCYL002D",33.6745712717519,"JCYL","002","D"
"DNM1","JCYL003D",34.9258513281563,"JCYL","003","D"
"DOA1","JCYL001B",48.1628975683553,"JCYL","001","B"
"DOA1","JCYL002B",49.6210293060956,"JCYL","002","B"
"DOA1","JCYL003B",50.2096754018124,"JCYL","003","B"
"DOA1","JCYL001D",43.4343882805125,"JCYL","001","D"
"DOA1","JCYL002D",45.5050988951659,"JCYL","002","D"
"DOA1","JCYL003D",43.0336151332853,"JCYL","003","D"
"DOA4","JCYL001B",16.107226488591,"JCYL","001","B"
"DOA4","JCYL002B",16.4031790669618,"JCYL","002","B"
"DOA4","JCYL003B",15.8409650181013,"JCYL","003","B"
"DOA4","JCYL001D",17.042606195283,"JCYL","001","D"
"DOA4","JCYL002D",18.6736763654385,"JCYL","002","D"
"DOA4","JCYL003D",16.7139510274686,"JCYL","003","D"
"DOC1","JCYL001B",9.0997897635746,"JCYL","001","B"
"DOC1","JCYL002B",9.90322910167123,"JCYL","002","B"
"DOC1","JCYL003B",9.20109084392354,"JCYL","003","B"
"DOC1","JCYL001D",8.3837622303327,"JCYL","001","D"
"DOC1","JCYL002D",8.81149084164648,"JCYL","002","D"
"DOC1","JCYL003D",9.09465340011797,"JCYL","003","D"
"DOG1","JCYL001B",37.4963060490525,"JCYL","001","B"
"DOG1","JCYL002B",34.4522773642007,"JCYL","002","B"
"DOG1","JCYL003B",42.1995499598958,"JCYL","003","B"
"DOG1","JCYL001D",44.1259712270441,"JCYL","001","D"
"DOG1","JCYL002D",47.3292744050728,"JCYL","002","D"
"DOG1","JCYL003D",54.6152371897901,"JCYL","003","D"
"DOG2","JCYL001B",71.2937501861094,"JCYL","001","B"
"DOG2","JCYL002B",75.4606493743006,"JCYL","002","B"
"DOG2","JCYL003B",77.9450511023958,"JCYL","003","B"
"DOG2","JCYL001D",179.332889695761,"JCYL","001","D"
"DOG2","JCYL002D",157.066519155901,"JCYL","002","D"
"DOG2","JCYL003D",198.68069823024,"JCYL","003","D"
"DOM34","JCYL001B",44.2297639741192,"JCYL","001","B"
"DOM34","JCYL002B",47.3881127922684,"JCYL","002","B"
"DOM34","JCYL003B",45.5494078359493,"JCYL","003","B"
"DOM34","JCYL001D",38.7268396628203,"JCYL","001","D"
"DOM34","JCYL002D",43.7403678850048,"JCYL","002","D"
"DOM34","JCYL003D",43.7991030157493,"JCYL","003","D"
"DON1","JCYL001B",41.0653729030625,"JCYL","001","B"
"DON1","JCYL002B",41.7669802293727,"JCYL","002","B"
"DON1","JCYL003B",39.6471395932012,"JCYL","003","B"
"DON1","JCYL001D",29.9326155698663,"JCYL","001","D"
"DON1","JCYL002D",33.9550788118508,"JCYL","002","D"
"DON1","JCYL003D",26.3028269316865,"JCYL","003","D"
"DOP1","JCYL001B",13.7808848594628,"JCYL","001","B"
"DOP1","JCYL002B",14.0204341398299,"JCYL","002","B"
"DOP1","JCYL003B",13.6833559020961,"JCYL","003","B"
"DOP1","JCYL001D",12.4093008000001,"JCYL","001","D"
"DOP1","JCYL002D",12.0877384244061,"JCYL","002","D"
"DOP1","JCYL003D",12.9556041890718,"JCYL","003","D"
"DOS2","JCYL001B",96.3098662041202,"JCYL","001","B"
"DOS2","JCYL002B",91.6940456541115,"JCYL","002","B"
"DOS2","JCYL003B",85.2999742414877,"JCYL","003","B"
"DOS2","JCYL001D",100.461716748172,"JCYL","001","D"
"DOS2","JCYL002D",105.0720087259,"JCYL","002","D"
"DOS2","JCYL003D",101.830848358313,"JCYL","003","D"
"DOT1","JCYL001B",25.0428613726921,"JCYL","001","B"
"DOT1","JCYL002B",25.3041637896452,"JCYL","002","B"
"DOT1","JCYL003B",24.7848021052253,"JCYL","003","B"
"DOT1","JCYL001D",29.0824547885137,"JCYL","001","D"
"DOT1","JCYL002D",26.4404265444281,"JCYL","002","D"
"DOT1","JCYL003D",27.940279032687,"JCYL","003","D"
"DOT5","JCYL001B",62.782271372822,"JCYL","001","B"
"DOT5","JCYL002B",61.550498377684,"JCYL","002","B"
"DOT5","JCYL003B",61.8338712509224,"JCYL","003","B"
"DOT5","JCYL001D",68.3444320719753,"JCYL","001","D"
"DOT5","JCYL002D",66.9764074894518,"JCYL","002","D"
"DOT5","JCYL003D",70.1048104790475,"JCYL","003","D"
"DOT6","JCYL001B",100.463104280566,"JCYL","001","B"
"DOT6","JCYL002B",98.4886631256183,"JCYL","002","B"
"DOT6","JCYL003B",103.925255025866,"JCYL","003","B"
"DOT6","JCYL001D",69.6166724157595,"JCYL","001","D"
"DOT6","JCYL002D",70.0171894087766,"JCYL","002","D"
"DOT6","JCYL003D",73.2281785294769,"JCYL","003","D"
"DPB11","JCYL001B",19.974802386268,"JCYL","001","B"
"DPB11","JCYL002B",20.5753389145893,"JCYL","002","B"
"DPB11","JCYL003B",20.8385628483238,"JCYL","003","B"
"DPB11","JCYL001D",17.5124131389958,"JCYL","001","D"
"DPB11","JCYL002D",17.1838406944557,"JCYL","002","D"
"DPB11","JCYL003D",18.9976666419748,"JCYL","003","D"
"DPB2","JCYL001B",21.0944970151633,"JCYL","001","B"
"DPB2","JCYL002B",21.5796705745708,"JCYL","002","B"
"DPB2","JCYL003B",22.4816033805955,"JCYL","003","B"
"DPB2","JCYL001D",18.601118835391,"JCYL","001","D"
"DPB2","JCYL002D",18.2884734127097,"JCYL","002","D"
"DPB2","JCYL003D",19.1913945858532,"JCYL","003","D"
"DPB3","JCYL001B",57.4670007946372,"JCYL","001","B"
"DPB3","JCYL002B",54.9538668961236,"JCYL","002","B"
"DPB3","JCYL003B",54.7369371237721,"JCYL","003","B"
"DPB3","JCYL001D",71.5304861942502,"JCYL","001","D"
"DPB3","JCYL002D",74.9835927817639,"JCYL","002","D"
"DPB3","JCYL003D",63.6627775249735,"JCYL","003","D"
"DPB4","JCYL001B",78.6128727342757,"JCYL","001","B"
"DPB4","JCYL002B",80.5978653642206,"JCYL","002","B"
"DPB4","JCYL003B",80.8175774503179,"JCYL","003","B"
"DPB4","JCYL001D",68.7389236099813,"JCYL","001","D"
"DPB4","JCYL002D",72.7556474668983,"JCYL","002","D"
"DPB4","JCYL003D",68.3196747242296,"JCYL","003","D"
"DPH1","JCYL001B",43.0611132135321,"JCYL","001","B"
"DPH1","JCYL002B",45.2165075488358,"JCYL","002","B"
"DPH1","JCYL003B",42.7946867594775,"JCYL","003","B"
"DPH1","JCYL001D",35.954435704802,"JCYL","001","D"
"DPH1","JCYL002D",37.4659834104546,"JCYL","002","D"
"DPH1","JCYL003D",38.5527290108245,"JCYL","003","D"
"DPH2","JCYL001B",42.7761823296991,"JCYL","001","B"
"DPH2","JCYL002B",45.6749021439909,"JCYL","002","B"
"DPH2","JCYL003B",44.0463699198413,"JCYL","003","B"
"DPH2","JCYL001D",49.3916459455407,"JCYL","001","D"
"DPH2","JCYL002D",45.6886334571314,"JCYL","002","D"
"DPH2","JCYL003D",52.2253173702973,"JCYL","003","D"
"DPH5","JCYL001B",89.391933827038,"JCYL","001","B"
"DPH5","JCYL002B",89.6025375843214,"JCYL","002","B"
"DPH5","JCYL003B",84.0938259947675,"JCYL","003","B"
"DPH5","JCYL001D",95.3939722975995,"JCYL","001","D"
"DPH5","JCYL002D",95.0759240848832,"JCYL","002","D"
"DPH5","JCYL003D",98.4879281706977,"JCYL","003","D"
"DPL1","JCYL001B",41.4453236270802,"JCYL","001","B"
"DPL1","JCYL002B",41.4170722831104,"JCYL","002","B"
"DPL1","JCYL003B",41.4125683228073,"JCYL","003","B"
"DPL1","JCYL001D",32.0998625056298,"JCYL","001","D"
"DPL1","JCYL002D",31.2709329797861,"JCYL","002","D"
"DPL1","JCYL003D",33.5437099054462,"JCYL","003","D"
"DPM1","JCYL001B",147.15627680105,"JCYL","001","B"
"DPM1","JCYL002B",152.237532600924,"JCYL","002","B"
"DPM1","JCYL003B",157.020425239641,"JCYL","003","B"
"DPM1","JCYL001D",209.845033715025,"JCYL","001","D"
"DPM1","JCYL002D",185.057248861083,"JCYL","002","D"
"DPM1","JCYL003D",214.215725384308,"JCYL","003","D"
"DPP1","JCYL001B",155.512884467331,"JCYL","001","B"
"DPP1","JCYL002B",147.165899913761,"JCYL","002","B"
"DPP1","JCYL003B",160.049283001042,"JCYL","003","B"
"DPP1","JCYL001D",123.301551353116,"JCYL","001","D"
"DPP1","JCYL002D",137.243935283025,"JCYL","002","D"
"DPP1","JCYL003D",114.974923312073,"JCYL","003","D"
