"Gene","Mean_B","SD_B","Mean_D","SD_D","F_statistic","P_value","Significance"
"AAC1",97.0946011206809,2.21881102950802,156.06800178671,7.95213735345528,153.07578527416,0.000245277083617946,"***"
"AAC3",100.274866247518,10.0504587726346,45.2684981549065,4.95528542477222,72.2891548097686,0.00104949011733619,"**"
"AAD10",153.497600657346,3.43115632275108,171.645889726053,32.0406237225941,0.9515654336516,0.384556541368798,"ns"
"AAD14",67.8009009419032,1.3682695443001,23.4233885309412,2.39647147234038,775.82493808301,9.8832794221046e-06,"***"
"AAD15",5.2081252971698,0.836409875663783,6.65163085291746,0.738676313724625,5.02007990694777,0.0885675615713294,"ns"
"AAD16",17.4127127726185,3.51999245933596,19.1071309656492,4.91376189652114,0.235748297744892,0.652689716805897,"ns"
"AAD3",17.3223643832727,0.822574864635238,10.5093057570316,1.12216060250386,71.9330473309416,0.001059447520871,"**"
"AAD4",27.9285496684885,3.81046217092603,28.1324879874117,3.03481178321762,0.0052580727962101,0.945675064882395,"ns"
"AAD6",29.1593052935024,0.355670737796433,27.7401265326838,1.32178873632142,3.22487059753808,0.146956221994078,"ns"
"AAH1",95.3700567366285,16.1964868391917,139.170875606155,10.0848486106269,15.8105912966562,0.0164525010930715,"*"
"AAP1",31.9102809967763,0.68297451256572,26.0597013535509,1.61472774838243,33.4074599149542,0.00445053889450264,"**"
"AAR2",18.50040567515,0.702298157183002,13.1001093990048,0.401254400884027,133.729566628898,0.000319411357152562,"***"
"AAT1",73.0307924680542,1.97344000486606,39.1790999865053,0.527896923308535,823.794731406117,8.77014545972947e-06,"***"
"AAT2",332.714304266561,3.91501669147428,221.210521238709,4.06464120666297,1171.14115316263,4.34975305674196e-06,"***"
"ABD1",59.6691534019388,1.48431351884127,49.0961563491835,2.37611834808204,42.7263929302576,0.00283048488719224,"**"
"ABF1",55.1202381856196,1.09395438005077,52.1493099492654,1.37245387401999,8.59613607191058,0.0427320275409556,"*"
"ABF2",248.637029749241,4.98281763148702,401.980471902195,11.4739489868311,450.809331334142,2.90917711997129e-05,"***"
"ABM1",17.4259673836407,1.70693740859734,12.4036552999221,1.89903138418651,11.6060386953213,0.0271079826158259,"*"
"ABP1",99.0535681771834,1.53287442589911,93.931558516809,0.961068805897296,24.0441060189229,0.0080239139627691,"**"
"ABP140",72.8684310875451,1.97667900835335,66.5593238266387,2.2952093415348,13.0148560142752,0.022604562014144,"*"
"ABZ1",32.8481283344879,0.420070199814657,33.5524139817837,0.830077666624578,1.71932479896495,0.259983953073835,"ns"
"ABZ2",43.8150552682488,2.96929115789295,56.0630298947071,2.40927578524976,30.7796607567773,0.00516370540019145,"**"
"ACA1",71.0453549027224,1.82722866783519,77.2048329393272,7.70442609119097,1.81535969952557,0.249128808132966,"ns"
"ACB1",730.253753237669,25.9418301827429,889.63580685213,105.564516404487,6.44909133338195,0.0640144823164467,"ns"
"ACC1",64.2526975669025,0.386601000509691,114.11811755944,5.0613793179853,289.504958767561,6.99687317241264e-05,"***"
"ACE2",33.3641824625367,0.322282484590154,23.1290446289662,0.645135204757749,604.297305498375,1.62507678667891e-05,"***"
"ACF2",20.1482400928703,0.757557869459361,18.3309664930128,1.42818103776664,3.79073651496014,0.123384011282317,"ns"
"ACF4",40.621126841371,0.82612817914914,33.9794294791461,2.05688737195003,26.9344732100057,0.00656175074680016,"**"
"ACH1",67.2109921761079,1.74852325509194,178.765569228587,7.4822336400723,632.326243132249,1.48492273769286e-05,"***"
"ACK1",30.3934350216534,0.9750770231069,29.8869957066486,0.831867653279868,0.468378486918774,0.531328046173007,"ns"
"ACM1",44.9043244886571,1.52776988313131,44.7209886019964,1.62734019711525,0.0202388052325875,0.893750137331535,"ns"
"ACN9",45.4183898294139,2.87862909477561,83.2049342837721,5.87214922052529,100.154426976507,0.000560327336566841,"***"
"ACO1",226.170403191082,3.91595582222291,441.62154464123,10.7479078153046,1064.23543942625,5.2645367615137e-06,"***"
"ACO2",65.4835299400875,1.64714218232373,38.0747582160647,2.03737328247801,328.341062330236,5.45423650246891e-05,"***"
"ACP1",364.764571527658,10.4500500908821,512.213251237777,11.5689093886673,268.361083133276,8.12829918885033e-05,"***"
"ACS1",16.8324432296612,0.571570833022928,50.6623904921293,4.00052559382672,210.239262044282,0.000131545554308376,"***"
"ACS2",128.946209857645,4.34708297397134,119.28693086597,3.97533061279611,8.06633762373083,0.0468614706221194,"*"
"ACT1",784.43744727984,7.25770016485625,753.608428649974,9.46433412563616,20.0444894411014,0.0110143093075819,"*"
"ADA2",19.8830720643454,0.923240283772102,15.1409405959948,0.559663277597635,57.8789352409723,0.00160203554474593,"**"
"ADD37",135.743559898002,5.48871757695367,127.041276771905,10.5965062627549,1.5952956890758,0.275179082057275,"ns"
"ADD66",68.0717688420403,1.73926685125755,47.1196847042724,0.9244008307466,339.463090311582,5.10604774188509e-05,"***"
"ADE1",342.748302513005,32.3822678335434,277.051545103919,1.624846003921,12.316931867073,0.0246819776528822,"*"
"ADE12",371.819594980226,12.0283541862486,204.548638970776,4.95330095200967,496.043357336111,2.40601110352115e-05,"***"
"ADE13",348.538454993109,29.8990163001902,306.781438868643,3.88636706895529,5.75426684265267,0.0744527468911716,"ns"
"ADE16",206.392441991096,1.90725771943591,190.273307523512,2.34927059401624,85.1266416025068,0.000766922808972373,"***"
"ADE17",474.33168269093,42.4353904295765,224.421595531451,2.39882617972026,103.716257974914,0.000523654987765471,"***"
"ADE2",192.99201997996,11.2914607886501,131.192884257421,3.50592087463907,81.9623499873449,0.00082489437343051,"***"
