"gene","JCYL001B","JCYL002B","JCYL003B","JCYL001D","JCYL002D","JCYL003D"
"AAC1","98.98982684670017","94.65393368055682","97.64004283478569","152.29276473607234","165.20456350375258","150.70667712030556"
"AAC3","90.152106124744","100.4210639966201","110.25142862119068","49.31195212609476","46.752867806332056","39.74067453229255"
"AAD10","150.59618011755816","157.28479393587182","152.61182791860668","145.23889821898874","207.290523333808","162.4082476253606"
"AAD14","66.50073540967982","67.67359144057646","69.22837597545319","21.73052428989185","22.3741061387363","26.16553516419553"
"AAD15","4.727330869551988","4.723119851149933","6.173925170807473","5.85650057200006","6.78185992447791","7.316532062274396"
"AAD16","13.581928937907879","18.151597859321313","20.504611520626305","13.491277508159243","21.213845576913602","22.61626981187472"
"AAD3","16.388444899996884","17.63940679102934","17.939241458791855","10.503086740114394","9.390267587738645","11.634562943241766"
"AAD4","24.726880892795375","26.91564922967001","32.14311888300016","24.63076811995454","29.9997568423964","29.766938999884278"
"AAD6","29.56246346593074","28.889908143854722","29.025544270721873","26.39549553577492","29.037822775229362","27.787061287047084"
"AAH1","77.29314664935364","100.25578048573922","108.561243074793","128.1621583303107","141.38733530179303","147.9631331863605"
"AAP1","32.31644376046004","32.29262940736217","31.12176982250675","27.63791861869487","24.410785533641402","26.13039990831638"
"AAR2","19.247589022392333","17.853847912452796","18.399780090604835","12.950104635613616","13.554755063860673","12.795468497540021"
"AAT1","71.61675075130319","72.19028950746232","75.28533714539721","39.110466019637315","39.73795695467119","38.688876985207344"
"AAT2","337.03297897460607","329.39775376488956","331.71218006018574","225.82889842885578","218.1772799963445","219.6253852909255"
"ABD1","60.87513146724058","58.01146095044305","60.120867788132934","47.82304644920036","51.83754663501866","47.62787596333151"
"ABF1","54.831327764786344","54.19973599680251","56.32965079526999","53.084308697585556","52.789945333062384","50.57367581714838"
"ABF2","251.0894206251057","242.90330663056798","251.91836199204826","397.48542267303765","393.4346001711827","415.02139286236275"
"ABM1","19.28654682433519","15.932367424155535","17.058987902431326","11.205617684306107","14.593224201817742","11.412124013642416"
"ABP1","100.35518831125611","99.44152794774743","97.36398827254676","94.74240578437679","92.86997310329595","94.18229666275407"
"ABP140","71.50456933463292","75.13534484759094","71.9653790804116","68.57210609205978","67.04608927830691","64.05977610954953"
"ABZ1","32.77051938879654","33.30159123475765","32.4722743799095","34.2879209703406","33.71692079503052","32.65240017998003"
"ABZ2","47.221556862842675","42.44870229650637","41.77490664539744","55.66553595109726","58.64633316339109","53.87722056963282"
"ACA1","69.09722714593282","71.31773274949194","72.72110481274255","69.79446139403267","85.17299614155834","76.6470412823905"
"ACB1","701.4997109487338","737.3587497490046","751.9027990152675","772.0541039773793","976.2614294493094","920.591887129702"
"ACC1","64.27102902985114","63.8572569311247","64.62980673973176","109.19471157301086","119.30701979732439","113.8526213079855"
"ACE2","33.632495270988336","33.00670526328903","33.453346853332754","23.418189280010914","22.389917040665914","23.579027566221903"
"ACF2","19.487321017724025","19.98243013948049","20.974969121406396","17.28890454573732","19.95892169629155","17.745073237009393"
"ACF4","40.04667250715891","40.2488167223339","41.567891294620104","32.46390510620937","36.3209135689686","33.15346976226045"
"ACH1","69.07294672315331","65.60386586416985","66.95616394100071","172.99553394703653","176.0815797871367","187.21959395158842"
"ACK1","30.230036876345608","31.43988845971508","29.51037972889938","30.543902983200315","30.165467446885906","28.951616689859545"
"ACM1","45.68094461314447","43.14425398723898","45.88777486558776","45.85759468295884","42.85679548913772","45.448575633892716"
"ACN9","47.39214183599565","42.11532455758853","46.74770309465751","89.30851192099026","77.59543330623013","82.71085762409581"
"ACO1","229.19234538342488","227.57243896774867","221.7464252220715","452.2537308758522","430.7615373551645","441.8493656926733"
"ACO2","64.83088639810377","67.35698443780983","64.2627189843489","37.505326194762915","36.382683830140316","40.33626462329086"
"ACP1","374.1344716759716","353.4949972949086","366.6642456120931","523.403822549034","500.29989627745164","512.9360348868447"
"ACS1","17.424845407716173","16.284273964588966","16.788210316678448","54.411319600027454","46.45054429736328","51.12530757899697"
"ACS2","124.59987042600322","128.94472315432637","133.29403599260561","114.87547888897562","120.39376101224872","122.5915526966843"
"ACT1","782.2737880986883","778.5076332760918","792.5309204647389","742.9808491843417","756.7166489624503","761.1277878031302"
"ADA2","18.82009618048864","20.344315260322666","20.48480475222494","15.195743750166857","15.67118625956437","14.555891778252997"
"ADD37","131.47506080894178","133.82059891255244","141.9350199725124","130.36494597026407","115.18136086928844","135.57752347616238"
"ADD66","69.98529266895268","66.5869263449965","67.64308751217163","47.291554299101556","46.121410864798854","47.946088948916675"
"ADE1","353.32198969481993","368.5220307870713","306.4008870571239","275.2778736986563","278.46818439852814","277.4085772145732"
"ADE12","363.8955522810894","385.66030373787265","365.90292892171544","199.05470489247972","208.6731787225911","205.91803329725587"
"ADE13","351.9952948086287","376.55879757366796","317.0612725970299","302.297281699064","309.17550381317346","308.8715310936912"
"ADE16","208.10006366229103","204.33420051017376","206.74306180082323","189.12652812435715","192.97572166662263","188.71767277955453"
"ADE17","492.8642074949258","504.34864195165375","425.78219862620983","223.5351915747469","227.13747941883997","222.59211560076463"
"ADE2","195.56743359164997","202.77330230086753","180.6353240473625","130.109093227139","135.11272721608972","128.35683232903267"
"ADE3","524.0866184264727","538.6365862167953","528.6209016072822","198.49587843054132","185.28012668013992","203.01774461784706"
