"diff","lwr","upr","p adj","Gene","Comparison"
58.9734006660295,45.7393163186192,72.2074850134397,0.000248806926352652,"AAC1","D-B"
58.9734006660295,45.7393163186192,72.2074850134397,0.000248806926352652,"AAC1","D-B"
58.9734006660295,45.7393163186192,72.2074850134397,0.000248806926352652,"AAC1","D-B"
-55.0063680926119,-72.9688925160257,-37.0438436691981,0.00105155437921545,"AAC3","D-B"
18.148289068707,-33.5061124244844,69.8026905618984,0.384556755982342,"AAD10","D-B"
-44.377512410962,-48.8010738225117,-39.9539509994123,1.2139992461746e-05,"AAD14","D-B"
1.44350555574766,-0.345262865042473,3.23227397653779,0.0885680569924033,"AAD15","D-B"
1.69441819303066,-7.99476790831826,11.3836042943796,0.652689823534559,"AAD16","D-B"
-6.81305862624109,-9.04338731663572,-4.58272993584647,0.00106150553972273,"AAD3","D-B"
0.2039383189232,-7.60472166045707,8.01259829830347,0.945675080817233,"AAD4","D-B"
-1.41917876081863,-3.61335713891988,0.774999617282621,0.146956618189634,"AAD6","D-B"
43.8008188695261,13.2164763934223,74.38516134563,0.0164533923593164,"AAH1","D-B"
-5.85057964322541,-8.66097967831207,-3.04017960813875,0.00445186487024274,"AAP1","D-B"
-5.40029627614521,-6.69686291550086,-4.10372963678955,0.000322560787472614,"AAR2","D-B"
-33.851692481549,-37.1263196175835,-30.5770653455145,1.04474673658927e-05,"AAT1","D-B"
-111.503783027852,-120.550186542313,-102.457379513391,3.62447732205062e-06,"AAT2","D-B"
-10.5729970527553,-15.0639754971075,-6.08201860840315,0.00283200383470572,"ABD1","D-B"
-2.97092823635418,-5.7843283142072,-0.15752815850117,0.0427326787339667,"ABF1","D-B"
153.343442152954,133.291348062691,173.395536243217,3.61269552204835e-05,"ABF2","D-B"
-5.0223120837186,-9.11541498871593,-0.929209178721276,0.0271087421513595,"ABM1","D-B"
-5.12200966037446,-8.02220366604994,-2.22181565469898,0.00802502488507717,"ABP1","D-B"
-6.30910726090642,-11.1646658792088,-1.45354864260402,0.0226053677677895,"ABP140","D-B"
0.704285647295791,-0.787000036726806,2.19557133131839,0.259984241826777,"ABZ1","D-B"
12.2479746264582,6.11849877999159,18.3774504729249,0.00516497364676494,"ABZ2","D-B"
6.15947803660472,-6.53320808353698,18.8521641567464,0.249129104875706,"ACA1","D-B"
159.382053614461,-14.8712935509068,333.635400779829,0.0640150448400889,"ACB1","D-B"
49.8654199925378,41.7284549115914,58.0023850734842,7.65519135583759e-05,"ACC1","D-B"
-10.2351378335705,-11.3911418450377,-9.07913382210323,2.10764870678393e-05,"ACE2","D-B"
-1.81727359985754,-4.40876333303074,0.774216133315669,0.123384441134474,"ACF2","D-B"
-6.64169736222483,-10.1948659499177,-3.08852877453196,0.00656293104980188,"ACF4","D-B"
111.554577052479,99.2374969676369,123.871657137322,1.92176967239721e-05,"ACH1","D-B"
-0.506439315004812,-2.56100446639131,1.54812583638169,0.531328196653068,"ACK1","D-B"
-0.1833358866607,-3.76138273190721,3.39471095858581,0.893750168594834,"ACM1","D-B"
37.7865444543582,27.3033636276244,48.269725281092,0.00056287384450826,"ACN9","D-B"
215.451141450148,197.11445261494,233.787830285355,4.99928397856841e-06,"ACO1","D-B"
-27.4087717240228,-31.6084686349371,-23.2090748131085,6.16645106690239e-05,"ACO2","D-B"
147.448679710119,122.4583437543,172.439015665938,8.74626554039359e-05,"ACP1","D-B"
33.8299472624681,27.352030198264,40.3078643266722,0.000136376608229405,"ACS1","D-B"
-9.65927899167534,-19.1020071383149,-0.216550845035801,0.0468621010098231,"ACS2","D-B"
