"gene","JCYL001B","JCYL002B","JCYL003B","Mean_B","JCYL001D","JCYL002D","JCYL003D","Mean_D"
"AAC1",98.9898268467002,94.6539336805568,97.6400428347857,97.0946011206809,152.292764736072,165.204563503753,150.706677120306,156.06800178671
"AAC3",90.152106124744,100.42106399662,110.251428621191,100.274866247518,49.3119521260948,46.7528678063321,39.7406745322926,45.2684981549065
"AAD10",150.596180117558,157.284793935872,152.611827918607,153.497600657346,145.238898218989,207.290523333808,162.408247625361,171.645889726052
"AAD14",66.5007354096798,67.6735914405765,69.2283759754532,67.8009009419032,21.7305242898919,22.3741061387363,26.1655351641955,23.4233885309412
"AAD15",4.72733086955199,4.72311985114993,6.17392517080747,5.2081252971698,5.85650057200006,6.78185992447791,7.3165320622744,6.65163085291746
"AAD16",13.5819289379079,18.1515978593213,20.5046115206263,17.4127127726185,13.4912775081592,21.2138455769136,22.6162698118747,19.1071309656492
"AAD3",16.3884448999969,17.6394067910293,17.9392414587919,17.3223643832727,10.5030867401144,9.39026758773864,11.6345629432418,10.5093057570316
"AAD4",24.7268808927954,26.91564922967,32.1431188830002,27.9285496684885,24.6307681199545,29.9997568423964,29.7669389998843,28.1324879874117
"AAD6",29.5624634659307,28.8899081438547,29.0255442707219,29.1593052935024,26.3954955357749,29.0378227752294,27.7870612870471,27.7401265326838
"AAH1",77.2931466493536,100.255780485739,108.561243074793,95.3700567366286,128.162158330311,141.387335301793,147.96313318636,139.170875606155
"AAP1",32.31644376046,32.2926294073622,31.1217698225067,31.9102809967763,27.6379186186949,24.4107855336414,26.1303999083164,26.0597013535509
"AAR2",19.2475890223923,17.8538479124528,18.3997800906048,18.50040567515,12.9501046356136,13.5547550638607,12.79546849754,13.1001093990048
"AAT1",71.6167507513032,72.1902895074623,75.2853371453972,73.0307924680542,39.1104660196373,39.7379569546712,38.6888769852073,39.1790999865053
"AAT2",337.032978974606,329.39775376489,331.712180060186,332.71430426656,225.828898428856,218.177279996345,219.625385290925,221.210521238709
"ABD1",60.8751314672406,58.011460950443,60.1208677881329,59.6691534019388,47.8230464492004,51.8375466350187,47.6278759633315,49.0961563491835
"ABF1",54.8313277647863,54.1997359968025,56.32965079527,55.1202381856196,53.0843086975855,52.7899453330624,50.5736758171484,52.1493099492654
"ABF2",251.089420625106,242.903306630568,251.918361992048,248.637029749241,397.485422673038,393.434600171183,415.021392862363,401.980471902194
"ABM1",19.2865468243352,15.9323674241555,17.0589879024313,17.4259673836407,11.2056176843061,14.5932242018177,11.4121240136424,12.4036552999221
"ABP1",100.355188311256,99.4415279477474,97.3639882725468,99.0535681771834,94.7424057843768,92.869973103296,94.1822966627541,93.931558516809
"ABP140",71.5045693346329,75.1353448475909,71.9653790804116,72.8684310875451,68.5721060920598,67.0460892783069,64.0597761095495,66.5593238266387
"ABZ1",32.7705193887965,33.3015912347577,32.4722743799095,32.8481283344879,34.2879209703406,33.7169207950305,32.65240017998,33.5524139817837
