"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"ACM1","Within_Groups",4,9.96463386590034,2.49115846647508,NA,NA
"ACN9","Between_Groups",1,2141.73441270178,2141.73441270178,100.154426976507,0.000560327336566841
"ACN9","Within_Groups",4,85.537283866809,21.3843209667023,NA,NA
"ACO1","Between_Groups",1,69628.7915282573,69628.7915282573,1064.23543942625,5.2645367615137e-06
"ACO1","Within_Groups",4,261.704464815776,65.4261162039439,NA,NA
"ACO2","Between_Groups",1,1126.86115112939,1126.86115112939,328.341062330236,5.45423650246891e-05
"ACO2","Within_Groups",4,13.7279345218908,3.43198363047271,NA,NA
"ACP1","Between_Groups",1,32611.6697223859,32611.6697223859,268.361083133276,8.12829918885033e-05
"ACP1","Within_Groups",4,486.086422690281,121.52160567257,NA,NA
"ACS1","Between_Groups",1,1716.69799767206,1716.69799767206,210.239262044282,0.000131545554308376
"ACS1","Within_Groups",4,32.6617964880504,8.16544912201259,NA,NA
"ACS2","Between_Groups",1,139.952505958531,139.952505958531,8.06633762373083,0.0468614706221194
"ACS2","Within_Groups",4,69.4007677272504,17.3501919318126,NA,NA
"ACT1","Between_Groups",1,1425.64258452091,1425.64258452091,20.0444894411014,0.0110143093075819
"ACT1","Within_Groups",4,284.495664249271,71.1239160623176,NA,NA
"ADA2","Between_Groups",1,33.731716294682,33.731716294682,57.8789352409723,0.00160203554474593
"ADA2","Within_Groups",4,2.33119121174181,0.582797802935453,NA,NA
"ADD37","Between_Groups",1,113.594597410138,113.594597410138,1.5952956890758,0.275179082057275
"ADD37","Within_Groups",4,284.823931232326,71.2059828080816,NA,NA
"ADD66","Between_Groups",1,658.484744574159,658.484744574159,339.463090311582,5.10604774188509e-05
"ADD66","Within_Groups",4,7.7591321515368,1.9397830378842,NA,NA
"ADE1","Between_Groups",1,6474.09590110246,6474.09590110246,12.316931867073,0.0246819776528822
"ADE1","Within_Groups",4,2102.50278915961,525.625697289902,NA,NA
"ADE12","Between_Groups",1,41969.3590864731,41969.3590864731,496.043357336111,2.40601110352115e-05
"ADE12","Within_Groups",4,338.432989502047,84.6082473755119,NA,NA
"ADE13","Between_Groups",1,2615.47259342843,2615.47259342843,5.75426684265267,0.0744527468911716
"ADE13","Within_Groups",4,1818.1100494274,454.527512356851,NA,NA
"ADE16","Between_Groups",1,389.7397439761,389.7397439761,85.1266416025068,0.000766922808972373
"ADE16","Within_Groups",4,18.3134086645149,4.57835216612871,NA,NA
"ADE17","Between_Groups",1,93682.5774960879,93682.5774960879,103.716257974914,0.000523654987765471
"ADE17","Within_Groups",4,3613.03345590222,903.258363975555,NA,NA
